                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69777,                 0.6408,                  1.109,                0.96767,                 0.8638,                0.94482,                0.77888,                0.61255,                0.54039,                 1.0829,              0.0006536,              0.0006536,              0.0006536
                     36,                0.65736,                0.55967,                 1.0785,                0.96428,                0.87085,                 0.9576,                0.79144,                0.58497,                0.53456,                 1.0614,               0.000614,               0.000614,               0.000614
                     37,                0.60026,                0.53238,                 1.0715,                0.95301,                0.87226,                0.95012,                0.80395,                0.54957,                0.54381,                 1.0413,              0.0005744,              0.0005744,              0.0005744
                     38,                0.65374,                0.57612,                  1.084,                0.96112,                0.88615,                0.95334,                0.81205,                0.51982,                0.53215,                  1.021,              0.0005348,              0.0005348,              0.0005348
                     39,                0.63991,                0.56672,                 1.0609,                0.96841,                0.87905,                0.95343,                0.81724,                0.50746,                0.51919,                 1.0111,              0.0004952,              0.0004952,              0.0004952
                     40,                0.61253,                0.56053,                 1.0812,                0.97599,                0.87404,                0.95147,                0.82972,                0.47586,                0.50633,                0.99434,              0.0004556,              0.0004556,              0.0004556
                     41,                0.56063,                0.75987,                 1.0598,                0.96212,                0.89964,                0.96008,                0.83906,                0.47828,                0.50341,                0.99853,               0.000416,               0.000416,               0.000416
                     42,                0.52983,                0.64356,                 1.0534,                0.95857,                0.91212,                0.96248,                0.82722,                0.51729,                0.52899,                 1.0261,              0.0003764,              0.0003764,              0.0003764
                     43,                0.54942,                0.59381,                 1.0809,                0.98427,                0.89964,                0.96091,                0.83532,                 0.4996,                0.55206,                 1.0098,              0.0003368,              0.0003368,              0.0003368
                     44,                0.51638,                0.56974,                 1.0638,                 0.9503,                0.90681,                0.95733,                0.83556,                0.47981,                0.55461,                0.98231,              0.0002972,              0.0002972,              0.0002972
                     45,                0.50537,                0.51535,                 1.0385,                0.95393,                0.90323,                0.95556,                0.83157,                 0.4833,                 0.5407,                0.98399,              0.0002576,              0.0002576,              0.0002576
                     46,                0.53173,                0.55566,                 1.0482,                0.95083,                0.90113,                 0.9553,                0.83375,                0.48176,                0.53859,                0.98784,               0.000218,               0.000218,               0.000218
                     47,                0.53445,                0.50817,                 1.0728,                0.94871,                0.89606,                0.95714,                0.83611,                0.46891,                0.53018,                0.97829,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.5034,                0.50269,                  1.033,                0.95634,                0.90323,                0.96311,                0.84483,                 0.4458,                0.49638,                0.95587,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.4907,                0.48253,                 1.0237,                0.96997,                0.90323,                 0.9649,                0.85235,                0.44153,                0.48109,                0.95036,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.48178,                0.49914,                 1.0368,                0.95768,                0.92115,                0.96664,                0.85011,                0.44208,                0.47237,                0.94972,               5.96e-05,               5.96e-05,               5.96e-05
